Schedule,ChunkSize,Threads,ElapsedTime,ThreadID,Iterations
static,0,1,0.0621391,0,14118439
static,0,2,0.024926,0,7014056
static,0,2,0.024926,1,7104383
static,0,4,0.020597,0,284234
static,0,4,0.020597,1,6729822
static,0,4,0.020597,2,6818334
static,0,4,0.020597,3,286049
static,0,8,0.0280886,0,115989
static,0,8,0.0280886,1,168245
static,0,8,0.0280886,2,1367940
static,0,8,0.0280886,3,5361882
static,0,8,0.0280886,4,5416454
static,0,8,0.0280886,5,1401880
static,0,8,0.0280886,6,169531
static,0,8,0.0280886,7,116518
static,1,1,0.0340724,0,14118439
static,1,2,0.0204947,0,7067199
static,1,2,0.0204947,1,7051240
static,1,4,0.020711,0,3538193
static,1,4,0.020711,1,3525620
static,1,4,0.020711,2,3529006
static,1,4,0.020711,3,3525620
static,1,8,0.0104221,0,1780139
static,1,8,0.0104221,1,1765497
static,1,8,0.0104221,2,1764503
static,1,8,0.0104221,3,1760123
static,1,8,0.0104221,4,1758054
static,1,8,0.0104221,5,1760123
static,1,8,0.0104221,6,1764503
static,1,8,0.0104221,7,1765497
static,2,1,0.0339862,0,14118439
static,2,2,0.0210658,0,7063813
static,2,2,0.0210658,1,7054626
static,2,4,0.0148176,0,3545636
static,2,4,0.0148176,1,3524626
static,2,4,0.0148176,2,3518177
static,2,4,0.0148176,3,3530000
static,2,8,0.0131056,0,1794737
static,2,8,0.0131056,1,1767125
static,2,8,0.0131056,2,1758531
static,2,8,0.0131056,3,1755030
static,2,8,0.0131056,4,1750899
static,2,8,0.0131056,5,1757501
static,2,8,0.0131056,6,1759646
static,2,8,0.0131056,7,1774970
static,4,1,0.0340273,0,14118439
static,4,2,0.0198744,0,7070262
static,4,2,0.0198744,1,7048177
static,4,4,0.0203605,0,3561862
static,4,4,0.0203605,1,3513561
static,4,4,0.0203605,2,3508400
static,4,4,0.0203605,3,3534616
static,4,8,0.0104865,0,1786531
static,4,8,0.0104865,1,1764304
static,4,8,0.0104865,2,1749928
static,4,8,0.0104865,3,1751972
static,4,8,0.0104865,4,1775331
static,4,8,0.0104865,5,1749257
static,4,8,0.0104865,6,1758472
static,4,8,0.0104865,7,1782644
static,16,1,0.0345249,0,14118439
static,16,2,0.0400458,0,7052735
static,16,2,0.0400458,1,7065704
static,16,4,0.0221728,0,3412538
static,16,4,0.0221728,1,3418331
static,16,4,0.0221728,2,3640197
static,16,4,0.0221728,3,3647373
static,16,8,0.0108294,0,1784816
static,16,8,0.0108294,1,1798048
static,16,8,0.0108294,2,1861317
static,16,8,0.0108294,3,1787138
static,16,8,0.0108294,4,1627722
static,16,8,0.0108294,5,1620283
static,16,8,0.0108294,6,1778880
static,16,8,0.0108294,7,1860235
static,32,1,0.033995,0,14118439
static,32,2,0.0196154,0,6830869
static,32,2,0.0196154,1,7287570
static,32,4,0.0154536,0,3582864
static,32,4,0.0154536,1,3648455
static,32,4,0.0154536,2,3248005
static,32,4,0.0154536,3,3639115
static,32,8,0.0135658,0,1280610
static,32,8,0.0135658,1,1534131
static,32,8,0.0135658,2,1616810
static,32,8,0.0135658,3,2106704
static,32,8,0.0135658,4,2302254
static,32,8,0.0135658,5,2114324
static,32,8,0.0135658,6,1631195
static,32,8,0.0135658,7,1532411
static,400,1,0.034607,0,14118439
static,400,2,0.0292085,0,7014056
static,400,2,0.0292085,1,7104383
static,400,4,0.0190749,0,7014056
static,400,4,0.0190749,1,7104383
static,400,4,0.0190749,2,0
static,400,4,0.0190749,3,0
static,400,8,0.0263377,0,7014056
static,400,8,0.0263377,1,7104383
static,400,8,0.0263377,2,0
static,400,8,0.0263377,3,0
static,400,8,0.0263377,4,0
static,400,8,0.0263377,5,0
static,400,8,0.0263377,6,0
static,400,8,0.0263377,7,0
static,800,1,0.0340312,0,14118439
static,800,2,0.0340574,0,14118439
static,800,2,0.0340574,1,0
static,800,4,0.0349642,0,14118439
static,800,4,0.0349642,1,0
static,800,4,0.0349642,2,0
static,800,4,0.0349642,3,0
static,800,8,0.0348308,0,14118439
static,800,8,0.0348308,1,0
static,800,8,0.0348308,2,0
static,800,8,0.0348308,3,0
static,800,8,0.0348308,4,0
static,800,8,0.0348308,5,0
static,800,8,0.0348308,6,0
static,800,8,0.0348308,7,0
dynamic,0,1,0.0339672,0,14118439
dynamic,0,2,0.0203833,0,7127051
dynamic,0,2,0.0203833,1,6991388
dynamic,0,4,0.0133459,0,4063266
dynamic,0,4,0.0133459,1,3975665
dynamic,0,4,0.0133459,2,3960674
dynamic,0,4,0.0133459,3,2118834
dynamic,0,8,0.00696777,0,2040767
dynamic,0,8,0.00696777,1,2009807
dynamic,0,8,0.00696777,2,2019086
dynamic,0,8,0.00696777,3,1050928
dynamic,0,8,0.00696777,4,2144340
dynamic,0,8,0.00696777,5,996720
dynamic,0,8,0.00696777,6,1691081
dynamic,0,8,0.00696777,7,2165710
dynamic,1,1,0.0339867,0,14118439
dynamic,1,2,0.0203554,0,7113334
dynamic,1,2,0.0203554,1,7005105
dynamic,1,4,0.0116945,0,3622531
dynamic,1,4,0.0116945,1,3660751
dynamic,1,4,0.0116945,2,3286734
dynamic,1,4,0.0116945,3,3548423
dynamic,1,8,0.00712429,0,2045442
dynamic,1,8,0.00712429,1,2010368
dynamic,1,8,0.00712429,2,2040775
dynamic,1,8,0.00712429,3,2042136
dynamic,1,8,0.00712429,4,998414
dynamic,1,8,0.00712429,5,998712
dynamic,1,8,0.00712429,6,1987699
dynamic,1,8,0.00712429,7,1994893
dynamic,2,1,0.0341404,0,14118439
dynamic,2,2,0.0207583,0,7163789
dynamic,2,2,0.0207583,1,6954650
dynamic,2,4,0.0136919,0,3987571
dynamic,2,4,0.0136919,1,4131883
dynamic,2,4,0.0136919,2,2028742
dynamic,2,4,0.0136919,3,3970243
dynamic,2,8,0.00724344,0,2136556
dynamic,2,8,0.00724344,1,2193913
dynamic,2,8,0.00724344,2,1122826
dynamic,2,8,0.00724344,3,2191049
dynamic,2,8,0.00724344,4,1112971
dynamic,2,8,0.00724344,5,2162740
dynamic,2,8,0.00724344,6,2108030
dynamic,2,8,0.00724344,7,1090354
dynamic,4,1,0.0339869,0,14118439
dynamic,4,2,0.0204172,0,7148218
dynamic,4,2,0.0204172,1,6970221
dynamic,4,4,0.0131259,0,3982368
dynamic,4,4,0.0131259,1,4060042
dynamic,4,4,0.0131259,2,2019680
dynamic,4,4,0.0131259,3,4056349
dynamic,4,8,0.0148545,0,2178425
dynamic,4,8,0.0148545,1,2214789
